nhóm	hán tự	pinyin	nghĩa tiếng việt		chiết từ	ví dụ		word_id	pinyin_no_tone	meaning_en	word_type	level	lesson_id	lesson_order	topic_id	grammar_ids	audio_url	image_url	difficulty	tags	is_active
Nhóm 3	对不起	duìbuqǐ	không có gì		"对(duì ) + 不 (bù)+起 [ qǐ ]:bộ TẨU (走 zǒu )đi bộ
                                         chữ KỶ (己 jǐ ):chính mình.
"	对不起，没关系。(duìbuqǐ, méiguānxi)	Xin lỗi, không sao.	w0088	zhoumo			HSK1	lesson-3	3					1	Nhóm 3	TRUE
Nhóm 3	身体	shēntǐ	thân thể		"CHỮ身  shēn( thân, thân thể):
chữ THỂ: 体 tǐ(thể trạng.) :Nhân đứng (亻- con người) ở bên trái và chữ Bổn/Bản (本 - cái gốc, gốc rễ của cái cây) ở bên phải."	身体很好。(shēntǐ hěn hǎo)	Thân thể rất tốt.	w0089				HSK1							1	吉 (Chữ Cát - Tốt lành): Gồm chữ Sĩ (士 - kẻ sĩ) ở trên và chữ Khẩu (口) kẻ si nói lời tốt lành	TRUE
Nhóm 3	有	yǒu	có		"Phần trên (𠂇 - cách điệu thành nét ngang và phẩy dài 𠂊): Đây là bộ Thủ (Bàn tay trái) dang ra để cầm nắm.
hần dưới (月 - Bộ Nguyệt): Trong trường hợp này, bộ Nguyệt không chỉ mặt trăng mà là biến thể của chữ Nhục (肉 - miếng thịt)."	我有书。(wǒ yǒu shū)	Tôi có sách.	w0090	cuoi tuan toi đi cong vien.			HSK1							1	MẠT (末) Ngọn, cuối cùng, kết thúc:木 (Chữ Mộc) có thêm gạch ngang"	TRUE
Nhóm 3	没关系	méiguānxi	không sao		"Chữ 没 (méi - Một loại nước mất tích / Không có)
Chữ 关 (guān - Cánh cửa đóng lại)
Chữ 系 (xì/xi - Sợi dây xích"	没关系。(méiguānxi)	Không sao.	w0091	zhou			HSK1	lesson-3	3					1	Nhóm 3	TRUE
Nhóm 3	哪儿	nǎr	đâu; chỗ nào	đại từ nghi vấn	Bộ Khẩu (口) + chữ Na (那) mượn âm; 儿 là âm uốn lưỡi trong khẩu ngữ, dùng để hỏi nơi chốn.	你在哪儿？(nǐ zài nǎr)	Bạn ở đâu?	w0092	mot tuan rat ban.			HSK1							1	吉 (Chữ Cát - Tốt lành): Gồm chữ Sĩ (士 - kẻ sĩ) ở trên và chữ Khẩu (口) kẻ si nói lời tốt lành"	TRUE
Nhóm 3	天安门	Tiān'ānmén	thiên an môn		天 (Thiên): Đại (大) + nét ngang trên. 安 (An): Miên (宀) + Nữ (女). 门 (Môn): hình cánh cửa.	天安门在北京。(Tiānānmén zài Běijīng)	Thiên An Môn ở Bắc Kinh.	w0093	zhou			HSK1	lesson-3	3					1	Nhóm 3	TRUE
Nhóm 3	书	shū	sách 		Chữ Thư (书): nét ngang gập, nét móc và chấm; giản thể của 書, nghĩa là sách/viết.	我有书。(wǒ yǒu shū)	Tôi có sách.	w0094	zhou			HSK1	lesson-3	3					1	Nhóm 3	TRUE
			trung tâm					w0095	zhou			HSK1	lesson-3	3					1	Nhóm 3	TRUE
Nhóm 3	都	dōu	cũng		都 (Đô): chữ Giả (者) + bộ Ấp (阝), nghĩa là đều/cũng/đô thành tùy ngữ cảnh.	我和你都学汉语。(wǒ hé nǐ dōu xué Hànyǔ)	Tôi và bạn đều học tiếng Hán.	w0096	zhou			HSK1	lesson-3	3					1	Nhóm 3	TRUE
Nhóm 3	和	hé	và		和 (Hòa): bộ Hòa/Lúa (禾) + Khẩu (口), miệng nói hòa thuận, nghĩa là và/hòa.	我和她去学校。(wǒ hé tā qù xuéxiào)	Tôi và cô ấy đi trường học.	w0097	zhou			HSK1	lesson-3	3					1	Nhóm 3	TRUE
Nhóm 3	身体	shēntǐ	sức khỏe , sức khỏe		身 (Thân): thân mình. 体 (Thể): Nhân đứng (亻) + Bổn/Bản (本), chỉ cơ thể/thể trạng.	身体很好。(shēntǐ hěn hǎo)	Sức khỏe rất tốt.	w0098	zhou			HSK1	lesson-3	3					1	Nhóm 3	TRUE
Nhóm 3	公园	gōngyuán	công viên		公 (Công): Bát (八) + Tư (厶), nghĩa là chung/công. 园 (Viên): khung 囗 + Nguyên (元), chỉ khu vườn/công viên.	我去公园。(wǒ qù gōngyuán)	Tôi đi công viên.														
Nhóm 3	那	na	ấy; đó; kia (khẩu ngữ)		那 (Na): phần trái mượn âm + bộ Ấp (阝) bên phải, chỉ cái kia/đó.	那个很大。(nàge hěn dà)	Cái kia rất lớn.														
Nhóm 3	哪	nǎ	nào (dùng cho câu hỏi)		哪 (Nǎ): bộ Khẩu (口) + chữ Na (那), dùng để hỏi: nào/đâu.	哪个学校？(nǎge xuéxiào)	Trường nào?														
Nhóm 4	这	zhè	"Đại từ
Đầy đủ
1. đây; này; cái này"		这 (Zhè): bộ Sước (辶) + chữ Văn (文), nghĩa là đây/này/cái này.	这个很好。(zhège hěn hǎo)	Cái này rất tốt.														
Nhóm 4	那里	nàlǐ	chỗ ấy; chỗ đó		那 (Na) + 里 (Lý: 田 + 土, bên trong/nơi chốn), nghĩa là chỗ đó.	我在那里。(wǒ zài nàlǐ)	Tôi ở chỗ đó.														
Nhóm 4	哪里	nǎlǐ	đâu; chỗ nào		哪 (Khẩu 口 + Na 那) + 里 (田 + 土), nghĩa là chỗ nào/đâu.	你在哪里？(nǐ zài nǎlǐ)	Bạn ở đâu?														
Nhóm 4	这里	zhèlǐ	ở đây		这 (Sước 辶 + Văn 文) + 里 (田 + 土), nghĩa là ở đây/chỗ này.	我在这里。(wǒ zài zhèlǐ)	Tôi ở đây.														
Nhóm 4	个	gè	cái con , chiếc		个 (Cá): Nhân (人) ở trên + nét sổ ở giữa, lượng từ cái/con/chiếc.	我有一个。(wǒ yǒu yī gè)	Tôi có một cái.														
Nhóm 4	这个	zhège	cái này		这 (đây/này) + 个 (lượng từ cái), nghĩa là cái này.	这个很好。(zhège hěn hǎo)	Cái này rất tốt.														
Nhóm 4	那个	nàge	cái kia		那 (kia/đó) + 个 (lượng từ cái), nghĩa là cái kia/cái đó.	那个马很大。(nàge mǎ hěn dà)	Con ngựa kia rất lớn.														
Nhóm 4	哪个	nǎge	cái nào		哪 (nào) + 个 (lượng từ cái), nghĩa là cái nào.	哪个哥哥？(nǎge gēge)	Anh trai nào?														
Nhóm 4	几	jǐ	mấy		Chữ Kỷ (几): hình chiếc ghế nhỏ/cái bàn thấp; dùng để hỏi số lượng: mấy.	你有几个？(nǐ yǒu jǐ gè)	Bạn có mấy cái?														
Nhóm 4	在	zài	ở 		在 (Tại): phần trên giống bàn tay/che phủ + bộ Thổ (土), nghĩa là ở/tồn tại.	我在北京。(wǒ zài Běijīng)	Tôi ở Bắc Kinh.														
Nhóm 4	都	dōu	Nghĩa là: "Đều" / "Tất cả		都 (Đô): chữ Giả (者) + bộ Ấp (阝), nghĩa là đều/tất cả.	我和你都好。(wǒ hé nǐ dōu hǎo)	Tôi và bạn đều ổn.														
Nhóm 4	后天	hòutiān	ngày mốt		后 (Hậu): bộ Hán (厂) + Khẩu (口), nghĩa là sau. 天 (Thiên): Đại (大) + nét ngang trên, nghĩa là ngày/trời.	后天见。(hòutiān jiàn)	Ngày mốt gặp.														
Nhóm 4	河内	hénèi	hà nội		河 (Hà): bộ Thủy (氵) + Khả (可), nghĩa là sông. 内 (Nội): khung 冂 + Nhân (人), nghĩa là bên trong.	我在河内。(wǒ zài Hénèi)	Tôi ở Hà Nội.														
Nhóm 4	的	de	của		的 (Đích): Bạch (白) + Chước (勺), trợ từ sở hữu, nghĩa là của.	我的书。(wǒ de shū)	Sách của tôi.														
Nhóm 4	年	nián	năm 		Chữ Niên (年): phía trên là nét phẩy và ngang, phía dưới có nét sổ; nghĩa là năm, mùa vụ. Mẹo nhớ: từng nét xếp như bó lúa thu hoạch theo năm.	一年有十个月。(yī nián yǒu shí gè yuè)	Một năm có mười tháng.														
Nhóm 4	月	yuè	tháng		Chữ Nguyệt (月): hình mặt trăng, cũng dùng làm bộ Nguyệt; nghĩa là tháng/trăng.	一月一号。(yī yuè yī hào)	Ngày 1 tháng 1.														
Nhóm 4	号	hào	ngày		号 (Hào): Bộ Khẩu (口) ở trên + chữ Khảo/Khuyết dạng 丂 ở dưới; nghĩa là số hiệu, ngày trong tháng.	今天几号？(jīntiān jǐ hào)	Hôm nay ngày mấy?														
Nhóm 4	日	rì	ngày		Chữ Nhật (日): hình mặt trời, một khung vuông có nét ngang ở giữa; nghĩa là ngày/mặt trời.	一月一日。(yī yuè yī rì)	Ngày 1 tháng 1.														
nhóm 5	这	zhè	đây; này; cái này	đại từ	这 (Zhè): bộ Sước (辶) + chữ Văn (文), nghĩa là đây/này/cái này.	这是老师。(zhè shì lǎoshī)	Đây là thầy/cô giáo.														
nhóm 5	他们	tāmen	họ; bọn họ	đại từ	他 (người nam/anh ấy) + 们 (hậu tố số nhiều), ghép lại thành họ/bọn họ.	他们学习汉语。(tāmen xuéxí Hànyǔ)	Họ học tiếng Hán.														
nhóm 5	老师	lǎoshī	thầy giáo; cô giáo	danh từ	老 (già, lâu năm) + 师 (thầy, người dạy), chỉ giáo viên/người thầy.	老师请进。(lǎoshī qǐng jìn)	Thầy/cô giáo xin mời vào.														
nhóm 5	您	nín	ngài; ông; bà; bạn (kính ngữ)	đại từ	您 (Nín): 你 (bạn) + 心 (tâm), cách gọi lịch sự/kính trọng.	您好！(nín hǎo)	Chào ngài/anh/chị ạ.														
nhóm 5	请	qǐng	mời; xin; làm ơn	động từ	请 (Thỉnh): bộ Ngôn (讠) + chữ Thanh (青), lời nói lịch sự dùng để mời/xin.	请坐。(qǐng zuò)	Mời ngồi.														
nhóm 5	进	jìn	vào; tiến vào	động từ	进 (Tiến): bộ Sước (辶) chỉ đi lại + 井 mượn âm, nghĩa là đi vào/tiến vào.	请进！(qǐng jìn)	Mời vào!														
nhóm 5	坐	zuò	ngồi	động từ	坐 (Tọa): hai chữ Nhân (人) trên bộ Thổ (土), gợi hình người ngồi trên đất.	请坐。(qǐng zuò)	Mời ngồi.														
nhóm 5	喝	hē	uống	động từ	喝 (Hát/Uống): bộ Khẩu (口) + chữ Hạt (曷), hành động dùng miệng để uống.	我喝茶。(wǒ hē chá)	Tôi uống trà.														
nhóm 5	茶	chá	trà; chè	danh từ	茶 (Trà): bộ Thảo (艹) ở trên + phần dưới liên quan đến cây/người, chỉ cây trà/nước trà.	请喝茶。(qǐng hē chá)	Mời uống trà.														
nhóm 5	谢谢	xièxie	cảm ơn	động từ/câu nói	谢 (Tạ): bộ Ngôn (讠) + 射 mượn âm; lặp lại 谢谢 để nói cảm ơn.	谢谢老师。(xièxie lǎoshī)	Cảm ơn thầy/cô.														
nhóm 5	不客气	bú kèqi	không có gì; đừng khách sáo	cụm câu	不 (không) + 客气 (khách khí/khách sáo), dùng để đáp lại lời cảm ơn.	不客气。(bú kèqi)	Không có gì.														
nhóm 5	客气	kèqi	khách sáo; lịch sự	tính từ/danh từ	客 (khách) + 气 (khí/thái độ), chỉ thái độ khách sáo/lễ phép.	你太客气了。(nǐ tài kèqi le)	Bạn khách sáo quá rồi.														
nhóm 5	工作	gōngzuò	công việc; làm việc	danh từ/động từ	工 (công việc/lao động) + 作 (làm/tạo tác), ghép thành công việc hoặc làm việc.	我工作很忙。(wǒ gōngzuò hěn máng)	Công việc của tôi rất bận.														
nhóm 5	身体	shēntǐ	thân thể; sức khỏe	danh từ	身 (thân mình) + 体 (thể:亻 + 本), chỉ cơ thể/sức khỏe.	您身体好吗？(nín shēntǐ hǎo ma)	Sức khỏe của bạn có tốt không?														
nhóm 5	神	shén	thần; tinh thần; linh thiêng	danh từ	神 (Thần): bộ Thị (礻) liên quan đến tín ngưỡng + 申 mượn âm, nghĩa là thần/linh.	我不信神。(wǒ bù xìn shén)	Tôi không tin thần linh.														
nhóm 6	请问	qǐngwèn	xin hỏi; cho hỏi	động từ/cụm nói	请 (xin/mời) + 问 (hỏi), dùng mở đầu câu hỏi lịch sự.	请问，您贵姓？(qǐngwèn, nín guìxìng)	Xin hỏi, quý danh của ngài là gì?														
nhóm 6	问	wèn	hỏi	động từ	问 (Vấn): bộ Môn (门) bao ngoài + Khẩu (口), mở miệng trong cửa để hỏi.	我问老师。(wǒ wèn lǎoshī)	Tôi hỏi thầy/cô giáo.														
nhóm 6	贵姓	guìxìng	quý họ; họ của ngài là gì	cụm từ lịch sự	贵 (quý, cao quý) + 姓 (họ), dùng lịch sự để hỏi họ người khác.	您贵姓？(nín guìxìng)	Ngài họ gì ạ?														
nhóm 6	姓	xìng	họ; mang họ	danh từ/động từ	姓 (Tính): bộ Nữ (女) + Sinh (生), chỉ họ/tên họ.	我姓王。(wǒ xìng Wáng)	Tôi họ Vương.														
nhóm 6	叫	jiào	gọi; tên là	động từ	叫 (Khiếu): bộ Khẩu (口) + phần 纠 giản lược mượn âm, dùng khi gọi tên.	我叫小明。(wǒ jiào Xiǎomíng)	Tôi tên là Tiểu Minh.														
nhóm 6	名字	míngzi	tên	danh từ	名 (tên: 夕 + 口) + 字 (chữ/tên chữ), ghép lại nghĩa là tên.	你的名字是什么？(nǐ de míngzi shì shénme)	Tên của bạn là gì?														
nhóm 6	国	guó	nước; quốc gia	danh từ	国 (Quốc): khung 囗 bao ngoài + 玉 (ngọc) bên trong, chỉ đất nước/quốc gia.	你是哪国人？(nǐ shì nǎ guó rén)	Bạn là người nước nào?														
nhóm 6	认识	rènshi	quen biết; nhận biết	động từ	认 (nhận:讠 + 人) + 识 (biết:讠 + 只), nghĩa là nhận ra/quen biết.	我认识他。(wǒ rènshi tā)	Tôi quen anh ấy.														
nhóm 6	高兴	gāoxìng	vui; phấn khởi	tính từ	高 (cao) + 兴 (hứng/niềm vui), cảm xúc vui vẻ, phấn khởi.	认识你很高兴。(rènshi nǐ hěn gāoxìng)	Rất vui được quen bạn.														
nhóm 6	也	yě	cũng	phó từ	也 (Dã): nét ngang gập và móc cong, dùng làm phó từ nghĩa là cũng.	我也学习汉语。(wǒ yě xuéxí Hànyǔ)	Tôi cũng học tiếng Hán.														
nhóm 6	学习	xuéxí	học tập	động từ	学 (học) + 习 (luyện/tập), ghép lại nghĩa là học tập/luyện học.	他们学习汉语。(tāmen xuéxí Hànyǔ)	Họ học tiếng Hán.														
nhóm 6	什么	shénme	cái gì; gì	đại từ nghi vấn	什 (thập/mượn âm shén) + 么 (mượn âm me), dùng để hỏi “gì/cái gì”.	这是什么？(zhè shì shénme)	Đây là cái gì?														
nhóm 6	发音	fāyīn	phát âm	danh từ/động từ	发 (phát ra) + 音 (âm thanh), nghĩa là phát âm/âm được phát ra.	这个字怎么发音？(zhège zì zěnme fāyīn)	Chữ này phát âm thế nào?														
nhóm 6	汉字	Hànzì	chữ Hán	danh từ	汉 (Hán:氵 + 又) + 字 (chữ:宀 + 子), chỉ chữ viết tiếng Hán.	我学习汉字。(wǒ xuéxí Hànzì)	Tôi học chữ Hán.														
nhóm 6	书	shū	sách	danh từ	书 (Thư): giản thể của 書, các nét gợi vật ghi chép/viết, nghĩa là sách.	这是谁的书？(zhè shì shéi de shū)	Đây là sách của ai?														
nhóm 6	谁	shéi	ai	đại từ nghi vấn	谁 (Thùy/Ai): bộ Ngôn (讠) + 隹 mượn âm, dùng để hỏi người: ai.	谁是老师？(shéi shì lǎoshī)	Ai là thầy/cô giáo?														
nhóm 6	的	de	của; trợ từ kết cấu	trợ từ	的 (Đích): Bạch (白) + Chước (勺), đứng sau định ngữ để chỉ sở hữu/quan hệ.	这是我的书。(zhè shì wǒ de shū)	Đây là sách của tôi.														
nhóm 6	杂志	zázhì	tạp chí	danh từ	杂 (tạp/lẫn) + 志 (ghi chép/chí hướng), ghép thành tạp chí.	这是汉语杂志。(zhè shì Hànyǔ zázhì)	Đây là tạp chí tiếng Hán.														
nhóm 6	文	wén	văn; chữ viết; ngôn văn	danh từ	文 (Văn): hình nét xăm/hoa văn trên thân, mở rộng nghĩa là chữ viết, văn hóa, văn chương.	我学习中文。(wǒ xuéxí Zhōngwén)	Tôi học tiếng Trung.														
nhóm 6	是	shì	là																		
