# Câu Hán|Pinyin (thanh từ điển; 一/不 có thể biến điệu khi nói)|Nghĩa Việt|Từ được giải thích:nghĩa trong câu
这台电脑五千元。|Zhè tái diànnǎo wǔ qiān yuán.|Máy tính này giá năm nghìn tệ.|千:nghìn;电脑:máy tính
这里有一万人。|Zhèlǐ yǒu yī wàn rén.|Ở đây có mười nghìn người.|万:mười nghìn
这辆车十万元。|Zhè liàng chē shí wàn yuán.|Chiếc xe này giá một trăm nghìn tệ.|万:đơn vị vạn, 十万 là 100.000;车:xe
你是哪里人？|Nǐ shì nǎlǐ rén?|Bạn là người ở đâu?|人:người
请进来。|Qǐng jìnlái.|Mời vào.|来:đến, hướng về phía người nói
请从这里进入。|Qǐng cóng zhèlǐ jìnrù.|Hãy đi vào từ đây.|进入:đi vào;里:ở đây trong 这里
入口在右边。|Rùkǒu zài yòubiān.|Lối vào ở bên phải.|入口:lối vào
我儿子五岁。|Wǒ érzi wǔ suì.|Con trai tôi năm tuổi.|儿子:con trai
这儿很安静。|Zhèr hěn ānjìng.|Ở đây rất yên tĩnh.|这儿:ở đây, 儿 là đuôi cuốn lưỡi
你有几个朋友？|Nǐ yǒu jǐ ge péngyou?|Bạn có mấy người bạn?|几:mấy;个:lượng từ
现在几点？|Xiànzài jǐ diǎn?|Bây giờ là mấy giờ?|几:mấy
我吃饭了。|Wǒ chī fàn le.|Tôi ăn cơm rồi.|了:đánh dấu tình huống đã thay đổi/việc ăn đã xảy ra
下雨了。|Xià yǔ le.|Trời mưa rồi.|下雨:mưa;了:tình huống mới xuất hiện
我了解他。|Wǒ liǎojiě tā.|Tôi hiểu anh ấy.|了解:hiểu, ở đây 了 đọc liǎo
这把刀很小。|Zhè bǎ dāo hěn xiǎo.|Con dao này nhỏ.|刀:dao;小:nhỏ
用刀要小心。|Yòng dāo yào xiǎoxīn.|Dùng dao phải cẩn thận.|用:dùng;刀:dao;小心:cẩn thận
他很有力气。|Tā hěn yǒu lìqi.|Anh ấy rất khỏe.|力气:sức lực
我会努力学习。|Wǒ huì nǔlì xuéxí.|Tôi sẽ cố gắng học.|努力:cố gắng;学习:học
他又来了。|Tā yòu lái le.|Anh ấy lại đến rồi.|又:lại;来:đến
苹果又大又甜。|Píngguǒ yòu dà yòu tián.|Táo vừa to vừa ngọt.|又:又…又… nghĩa vừa…vừa…;大:to;苹果:táo
衣服干了。|Yīfu gān le.|Quần áo khô rồi.|干:khô, đọc gān
你在干什么？|Nǐ zài gàn shénme?|Bạn đang làm gì?|干:làm, đọc gàn;什么:cái gì
我在工厂工作。|Wǒ zài gōngchǎng gōngzuò.|Tôi làm việc ở nhà máy.|工厂:nhà máy;工作:làm việc
他是工人。|Tā shì gōngrén.|Anh ấy là công nhân.|工人:công nhân
工厂很大。|Gōngchǎng hěn dà.|Nhà máy rất lớn.|工厂:nhà máy;大:lớn
地上有土。|Dìshang yǒu tǔ.|Trên mặt đất có đất cát.|土:đất;上:trên
这片土地很大。|Zhè piàn tǔdì hěn dà.|Mảnh đất này rất rộng.|土地:đất đai;片:lượng từ cho một vùng
她是护士。|Tā shì hùshi.|Cô ấy là y tá.|护士:y tá
那位女士是老师。|Nà wèi nǚshì shì lǎoshī.|Người phụ nữ kia là giáo viên.|女士:quý cô, phụ nữ
他才来。|Tā cái lái.|Anh ấy vừa mới đến.|才:mới;来:đến
我才十八岁。|Wǒ cái shíbā suì.|Tôi mới mười tám tuổi.|才:chỉ mới
书在桌子上。|Shū zài zhuōzi shàng.|Sách ở trên bàn.|上:trên;书:sách
猫在桌子下。|Māo zài zhuōzi xià.|Mèo ở dưới bàn.|下:dưới
请坐下。|Qǐng zuòxia.|Mời ngồi xuống.|下:xuống
这件衣服太大了。|Zhè jiàn yīfu tài dà le.|Bộ quần áo này to quá.|太:quá;大:to
这个房间很小。|Zhè ge fángjiān hěn xiǎo.|Căn phòng này nhỏ.|小:nhỏ
请张开口。|Qǐng zhāng kāi kǒu.|Hãy mở miệng.|口:miệng;开:mở
我们去爬山。|Wǒmen qù páshān.|Chúng tôi đi leo núi.|山:núi
山上有树。|Shān shàng yǒu shù.|Trên núi có cây.|山:núi;上:trên
这是我的毛巾。|Zhè shì wǒ de máojīn.|Đây là khăn của tôi.|毛巾:khăn
请给我一条纸巾。|Qǐng gěi wǒ yī tiáo zhǐjīn.|Cho tôi một tờ khăn giấy.|纸巾:khăn giấy
我想去四川。|Wǒ xiǎng qù Sìchuān.|Tôi muốn đến Tứ Xuyên.|四川:Tứ Xuyên, địa danh
他喜欢吃川菜。|Tā xǐhuan chī chuāncài.|Anh ấy thích ăn món Tứ Xuyên.|川菜:món ăn Tứ Xuyên
好久不见！|Hǎo jiǔ bú jiàn!|Lâu rồi không gặp!|久:lâu;不:không, biến điệu thành bú trước thanh 4;见:gặp
你等了多久？|Nǐ děng le duō jiǔ?|Bạn đã đợi bao lâu?|久:lâu
你叫什么名字？|Nǐ jiào shénme míngzi?|Bạn tên là gì?|什么:gì;名字:tên
你怎么了？|Nǐ zěnme le?|Bạn sao vậy?|怎么:sao, thế nào;了:tình huống mới
请吃一粒药丸。|Qǐng chī yī lì yàowán.|Hãy uống một viên thuốc.|药丸:viên thuốc
我喜欢吃肉丸。|Wǒ xǐhuan chī ròuwán.|Tôi thích ăn thịt viên.|肉丸:thịt viên;肉:thịt
现在还来得及。|Xiànzài hái láidejí.|Bây giờ vẫn còn kịp.|来得及:kịp
请及时告诉我。|Qǐng jíshí gàosu wǒ.|Hãy báo cho tôi kịp thời.|及时:kịp thời
广场上有很多人。|Guǎngchǎng shàng yǒu hěn duō rén.|Ở quảng trường có nhiều người.|广场:quảng trường
这条路很宽广。|Zhè tiáo lù hěn kuānguǎng.|Con đường này rất rộng.|宽广:rộng
请开门。|Qǐng kāi mén.|Hãy mở cửa.|开:mở;门:cửa
门已经关了。|Mén yǐjīng guān le.|Cửa đã đóng rồi.|门:cửa;已经:đã
这个词是什么意思？|Zhè ge cí shì shénme yìsi?|Từ này có nghĩa là gì?|意思:ý nghĩa
这样做很有意义。|Zhèyàng zuò hěn yǒu yìyì.|Làm như vậy rất có ý nghĩa.|意义:ý nghĩa
我自己来。|Wǒ zìjǐ lái.|Để tôi tự làm.|自己:bản thân, tự mình
你要相信自己。|Nǐ yào xiāngxìn zìjǐ.|Bạn phải tin vào bản thân.|自己:bản thân
我已经吃了。|Wǒ yǐjīng chī le.|Tôi đã ăn rồi.|已经:đã
他也会说中文。|Tā yě huì shuō Zhōngwén.|Anh ấy cũng biết nói tiếng Trung.|也:cũng;中文:tiếng Trung
我也喜欢。|Wǒ yě xǐhuan.|Tôi cũng thích.|也:cũng
她是我女儿。|Tā shì wǒ nǚ'ér.|Cô bé là con gái tôi.|女儿:con gái
这个女孩很可爱。|Zhè ge nǚhái hěn kě'ài.|Cô bé này rất đáng yêu.|女孩:bé gái
鸟飞走了。|Niǎo fēi zǒu le.|Con chim bay đi rồi.|鸟:chim;飞:bay
我坐飞机去北京。|Wǒ zuò fēijī qù Běijīng.|Tôi đi máy bay đến Bắc Kinh.|飞机:máy bay
我每天学习中文。|Wǒ měitiān xuéxí Zhōngwén.|Tôi học tiếng Trung mỗi ngày.|学习:học;文:ngôn ngữ trong 中文
我们再练习一次。|Wǒmen zài liànxí yī cì.|Chúng ta luyện tập thêm một lần nữa.|练习:luyện tập;再:lại, thêm lần nữa
桌上有一把叉子。|Zhuō shàng yǒu yī bǎ chāzi.|Trên bàn có một chiếc nĩa.|叉子:nĩa
请用叉子吃。|Qǐng yòng chāzi chī.|Hãy dùng nĩa để ăn.|叉子:nĩa;用:dùng
那是一匹马。|Nà shì yī pǐ mǎ.|Đó là một con ngựa.|马:ngựa
你会骑马吗？|Nǐ huì qí mǎ ma?|Bạn biết cưỡi ngựa không?|马:ngựa
我的家乡很美。|Wǒ de jiāxiāng hěn měi.|Quê tôi rất đẹp.|家乡:quê hương
爷爷住在乡下。|Yéye zhù zài xiāngxia.|Ông nội sống ở nông thôn.|乡下:nông thôn
今天的菜很丰富。|Jīntiān de cài hěn fēngfù.|Món ăn hôm nay rất phong phú.|丰富:phong phú
今年是个丰收年。|Jīnnián shì ge fēngshōu nián.|Năm nay là một năm được mùa.|丰收:được mùa;年:năm
他姓王。|Tā xìng Wáng.|Anh ấy họ Vương.|王:họ Vương
故事里有一个国王。|Gùshi lǐ yǒu yī ge guówáng.|Trong truyện có một vị vua.|国王:vua;故事:truyện;里:trong
请开灯。|Qǐng kāi dēng.|Hãy bật đèn.|开:bật
我会开车。|Wǒ huì kāi chē.|Tôi biết lái xe.|开:lái;车:xe
这里有一口井。|Zhèlǐ yǒu yī kǒu jǐng.|Ở đây có một cái giếng.|井:giếng;口:lượng từ cho giếng
井里有水。|Jǐng lǐ yǒu shuǐ.|Trong giếng có nước.|井:giếng;水:nước;里:trong
今天天气很好。|Jīntiān tiānqì hěn hǎo.|Thời tiết hôm nay rất đẹp.|天气:thời tiết
天空很蓝。|Tiānkōng hěn lán.|Bầu trời rất xanh.|天:trời trong 天空
她的丈夫是医生。|Tā de zhàngfu shì yīshēng.|Chồng cô ấy là bác sĩ.|丈夫:chồng;医生:bác sĩ
这位大夫很好。|Zhè wèi dàifu hěn hǎo.|Vị bác sĩ này rất tốt.|大夫:bác sĩ, đọc dàifu
这里没有无线网络。|Zhèlǐ méiyǒu wúxiàn wǎngluò.|Ở đây không có mạng không dây.|无线:không dây
这件事与我无关。|Zhè jiàn shì yǔ wǒ wúguān.|Việc này không liên quan đến tôi.|与:với;无关:không liên quan;事:việc
请专心听。|Qǐng zhuānxīn tīng.|Hãy tập trung nghe.|专心:chuyên tâm, tập trung
这是我的专业。|Zhè shì wǒ de zhuānyè.|Đây là chuyên ngành của tôi.|专业:chuyên ngành
这张桌子是木头做的。|Zhè zhāng zhuōzi shì mùtou zuò de.|Chiếc bàn này làm bằng gỗ.|木头:gỗ
这里有很多树木。|Zhèlǐ yǒu hěn duō shùmù.|Ở đây có nhiều cây cối.|树木:cây cối
我不去。|Wǒ bù qù.|Tôi không đi.|不:không
我不喜欢喝咖啡。|Wǒ bù xǐhuan hē kāfēi.|Tôi không thích uống cà phê.|不:phủ định sở thích
太好了！|Tài hǎo le!|Tốt quá!|太:quá, mức độ cao
这辆车很贵。|Zhè liàng chē hěn guì.|Chiếc xe này rất đắt.|车:xe
我的牙疼。|Wǒ de yá téng.|Tôi đau răng.|牙:răng
每天都要刷牙。|Měitiān dōu yào shuā yá.|Ngày nào cũng phải đánh răng.|牙:răng
我们互相帮助。|Wǒmen hùxiāng bāngzhù.|Chúng tôi giúp đỡ lẫn nhau.|互相:lẫn nhau
这需要互相理解。|Zhè xūyào hùxiāng lǐjiě.|Việc này cần sự thấu hiểu lẫn nhau.|互相:lẫn nhau
请停止说话。|Qǐng tíngzhǐ shuōhuà.|Hãy ngừng nói chuyện.|停止:dừng
这里禁止吸烟。|Zhèlǐ jìnzhǐ xīyān.|Ở đây cấm hút thuốc.|禁止:cấm
今天人很少。|Jīntiān rén hěn shǎo.|Hôm nay ít người.|少:ít, đọc shǎo
他还是个少年。|Tā háishi ge shàonián.|Cậu ấy vẫn còn là thiếu niên.|少年:thiếu niên, 少 đọc shào
今天是我的生日。|Jīntiān shì wǒ de shēngrì.|Hôm nay là sinh nhật tôi.|生日:sinh nhật
我喜欢看日出。|Wǒ xǐhuan kàn rìchū.|Tôi thích ngắm mặt trời mọc.|日出:mặt trời mọc
我学习中文。|Wǒ xuéxí Zhōngwén.|Tôi học tiếng Trung.|中文:tiếng Trung
他站在中间。|Tā zhàn zài zhōngjiān.|Anh ấy đứng ở giữa.|中间:ở giữa
海边有很多贝壳。|Hǎibiān yǒu hěn duō bèiké.|Bờ biển có nhiều vỏ sò.|贝壳:vỏ sò
这个贝壳很漂亮。|Zhè ge bèiké hěn piàoliang.|Vỏ sò này rất đẹp.|贝壳:vỏ sò
请在室内等。|Qǐng zài shìnèi děng.|Hãy đợi trong nhà.|室内:trong nhà
三天内给你答复。|Sān tiān nèi gěi nǐ dáfù.|Tôi sẽ trả lời bạn trong vòng ba ngày.|内:trong phạm vi thời gian
我想喝水。|Wǒ xiǎng hē shuǐ.|Tôi muốn uống nước.|水:nước
水很热。|Shuǐ hěn rè.|Nước rất nóng.|水:nước
明天见！|Míngtiān jiàn!|Hẹn gặp ngày mai!|见:gặp
我看见他了。|Wǒ kànjiàn tā le.|Tôi đã nhìn thấy anh ấy.|看见:nhìn thấy
中午一起吃饭吧。|Zhōngwǔ yīqǐ chī fàn ba.|Trưa cùng ăn cơm nhé.|中午:buổi trưa
我下午有课。|Wǒ xiàwǔ yǒu kè.|Chiều tôi có tiết học.|下午:buổi chiều
我每天喝牛奶。|Wǒ měitiān hē niúnǎi.|Tôi uống sữa bò mỗi ngày.|牛奶:sữa bò
田里有一头牛。|Tián lǐ yǒu yī tóu niú.|Trong ruộng có một con bò.|田:ruộng;头:lượng từ cho gia súc;牛:bò
请洗手。|Qǐng xǐ shǒu.|Hãy rửa tay.|手:tay
我的手很冷。|Wǒ de shǒu hěn lěng.|Tay tôi lạnh.|手:tay
别生气。|Bié shēngqì.|Đừng giận.|生气:tức giận
这里的空气很好。|Zhèlǐ de kōngqì hěn hǎo.|Không khí ở đây rất tốt.|空气:không khí
猫的毛很软。|Māo de máo hěn ruǎn.|Lông mèo rất mềm.|毛:lông
这个五毛钱。|Zhè ge wǔ máo qián.|Cái này giá năm hào.|毛:hào, 五毛 là 0,5 tệ
太阳升起来了。|Tàiyáng shēng qǐlai le.|Mặt trời đã mọc lên.|升:lên
这瓶水有一升。|Zhè píng shuǐ yǒu yī shēng.|Chai nước này có một lít.|升:lít
这条路很长。|Zhè tiáo lù hěn cháng.|Con đường này rất dài.|长:dài, đọc cháng
孩子长大了。|Háizi zhǎng dà le.|Đứa trẻ đã lớn rồi.|长:lớn lên, đọc zhǎng
我吃了一片面包。|Wǒ chī le yī piàn miànbāo.|Tôi đã ăn một lát bánh mì.|片:lát;面包:bánh mì
我喜欢这部电影。|Wǒ xǐhuan zhè bù diànyǐng.|Tôi thích bộ phim này.|电影:phim điện ảnh
我没有硬币。|Wǒ méiyǒu yìngbì.|Tôi không có tiền xu.|硬币:tiền xu
这是人民币。|Zhè shì Rénmínbì.|Đây là nhân dân tệ.|人民币:nhân dân tệ
我要一斤苹果。|Wǒ yào yī jīn píngguǒ.|Tôi muốn một cân táo.|斤:cân Trung Quốc, 500 g
我的父亲是老师。|Wǒ de fùqīn shì lǎoshī.|Cha tôi là giáo viên.|父亲:cha
父母都在家。|Fùmǔ dōu zài jiā.|Bố mẹ đều ở nhà.|父母:bố mẹ
今天的月亮很圆。|Jīntiān de yuèliang hěn yuán.|Trăng hôm nay rất tròn.|月亮:mặt trăng
下个月我去中国。|Xià ge yuè wǒ qù Zhōngguó.|Tháng sau tôi đi Trung Quốc.|月:tháng
请勿吸烟。|Qǐng wù xīyān.|Xin đừng hút thuốc.|勿:đừng, dùng trên biển báo
请勿大声说话。|Qǐng wù dàshēng shuōhuà.|Xin đừng nói to.|勿:đừng
我欠他十元。|Wǒ qiàn tā shí yuán.|Tôi nợ anh ấy mười tệ.|欠:nợ
他打了一个哈欠。|Tā dǎ le yī ge hāqian.|Anh ấy ngáp một cái.|哈欠:cái ngáp
那是一只乌鸦。|Nà shì yī zhī wūyā.|Đó là một con quạ.|乌鸦:quạ
天上有乌云。|Tiān shàng yǒu wūyún.|Trên trời có mây đen.|乌云:mây đen
我喜欢中国文化。|Wǒ xǐhuan Zhōngguó wénhuà.|Tôi thích văn hóa Trung Quốc.|文化:văn hóa
这个方法很好。|Zhè ge fāngfǎ hěn hǎo.|Cách này rất hay.|方法:phương pháp
请告诉我方向。|Qǐng gàosu wǒ fāngxiàng.|Hãy chỉ hướng cho tôi.|方向:phương hướng
小心，那里有火！|Xiǎoxīn, nàlǐ yǒu huǒ!|Cẩn thận, ở đó có lửa!|火:lửa
我坐火车回家。|Wǒ zuò huǒchē huí jiā.|Tôi đi tàu hỏa về nhà.|火车:tàu hỏa
谢谢你为我做饭。|Xièxie nǐ wèi wǒ zuò fàn.|Cảm ơn bạn đã nấu cơm cho tôi.|为:cho, vì, đọc wèi
他成为了老师。|Tā chéngwéi le lǎoshī.|Anh ấy đã trở thành giáo viên.|成为:trở thành, 为 đọc wéi
这里有十户人家。|Zhèlǐ yǒu shí hù rénjiā.|Ở đây có mười hộ gia đình.|户:hộ gia đình
请打开窗户。|Qǐng dǎkāi chuānghu.|Hãy mở cửa sổ.|窗户:cửa sổ
我很开心。|Wǒ hěn kāixīn.|Tôi rất vui.|开心:vui
请放心。|Qǐng fàngxīn.|Bạn cứ yên tâm.|放心:yên tâm
给我一把尺子。|Gěi wǒ yī bǎ chǐzi.|Cho tôi một cái thước.|尺子:thước
用尺子画一条线。|Yòng chǐzi huà yī tiáo xiàn.|Dùng thước vẽ một đường thẳng.|尺子:thước
小狗的尾巴很短。|Xiǎogǒu de wěiba hěn duǎn.|Đuôi chú chó ngắn.|尾巴:đuôi
请闭上嘴巴。|Qǐng bì shàng zuǐba.|Hãy khép miệng lại.|嘴巴:miệng
这件事怎么办？|Zhè jiàn shì zěnme bàn?|Việc này giải quyết thế nào?|办:giải quyết;事:việc
我在办公室。|Wǒ zài bàngōngshì.|Tôi đang ở văn phòng.|办公室:văn phòng
这本书很有意思。|Zhè běn shū hěn yǒu yìsi.|Quyển sách này rất thú vị.|书:sách;意思:thú vị trong 有意思
我喜欢看书。|Wǒ xǐhuan kàn shū.|Tôi thích đọc sách.|书:sách
这是一块玉。|Zhè shì yī kuài yù.|Đây là một miếng ngọc.|玉:ngọc
这个玉手镯很漂亮。|Zhè ge yù shǒuzhuó hěn piàoliang.|Chiếc vòng ngọc này rất đẹp.|玉:ngọc
我还未决定。|Wǒ hái wèi juédìng.|Tôi vẫn chưa quyết định.|未:chưa, văn viết
你想过未来吗？|Nǐ xiǎng guo wèilái ma?|Bạn đã nghĩ về tương lai chưa?|未来:tương lai
周末你有空吗？|Zhōumò nǐ yǒu kòng ma?|Cuối tuần bạn rảnh không?|周末:cuối tuần
我们月底见。|Wǒmen yuèdǐ jiàn.|Chúng ta gặp nhau cuối tháng.|月:tháng trong 月底
请看这个提示。|Qǐng kàn zhè ge tíshì.|Hãy xem gợi ý này.|提示:gợi ý
红灯表示要停车。|Hóngdēng biǎoshì yào tíng chē.|Đèn đỏ có nghĩa là phải dừng xe.|表示:biểu thị;车:xe
答案是正确的。|Dá'àn shì zhèngquè de.|Đáp án là đúng.|正确:đúng
他正在看书。|Tā zhèngzài kàn shū.|Anh ấy đang đọc sách.|正在:đang
世界很大。|Shìjiè hěn dà.|Thế giới rất rộng lớn.|世界:thế giới
这是上个世纪的照片。|Zhè shì shàng ge shìjì de zhàopiàn.|Đây là ảnh của thế kỷ trước.|世纪:thế kỷ
这是一块石头。|Zhè shì yī kuài shítou.|Đây là một hòn đá.|石头:đá
路上有很多石头。|Lù shàng yǒu hěn duō shítou.|Trên đường có nhiều đá.|石头:đá
我喜欢美术。|Wǒ xǐhuan měishù.|Tôi thích mỹ thuật.|美术:mỹ thuật
他的技术很好。|Tā de jìshù hěn hǎo.|Kỹ thuật của anh ấy rất tốt.|技术:kỹ thuật
我喜欢看舞龙。|Wǒ xǐhuan kàn wǔlóng.|Tôi thích xem múa rồng.|龙:rồng
这里有一条龙的图案。|Zhèlǐ yǒu yī tiáo lóng de tú'àn.|Ở đây có một hình con rồng.|龙:rồng
这条路很平。|Zhè tiáo lù hěn píng.|Con đường này bằng phẳng.|平:phẳng
祝你一路平安。|Zhù nǐ yīlù píng'ān.|Chúc bạn thượng lộ bình an.|平安:bình an
太阳从东边升起。|Tàiyáng cóng dōngbian shēngqǐ.|Mặt trời mọc từ phía đông.|东边:phía đông;升起:mọc lên
学校在东边。|Xuéxiào zài dōngbian.|Trường ở phía đông.|东边:phía đông
我明年毕业。|Wǒ míngnián bìyè.|Tôi tốt nghiệp năm sau.|毕业:tốt nghiệp;年:năm
请先做作业。|Qǐng xiān zuò zuòyè.|Hãy làm bài tập trước.|作业:bài tập
你的目的是什么？|Nǐ de mùdì shì shénme?|Mục đích của bạn là gì?|目的:mục đích
请看目录。|Qǐng kàn mùlù.|Hãy xem mục lục.|目录:mục lục
她聪明而且努力。|Tā cōngming érqiě nǔlì.|Cô ấy thông minh và còn chăm chỉ.|而且:hơn nữa, và còn
这件事暂且不说。|Zhè jiàn shì zànqiě bù shuō.|Tạm thời chưa nói chuyện này.|暂且:tạm thời
我想申请这份工作。|Wǒ xiǎng shēnqǐng zhè fèn gōngzuò.|Tôi muốn xin công việc này.|申请:đăng ký, xin
请填写申请表。|Qǐng tiánxiě shēnqǐng biǎo.|Hãy điền đơn đăng ký.|申请:đăng ký
我的手机没电了。|Wǒ de shǒujī méi diàn le.|Điện thoại tôi hết pin rồi.|电:điện, pin trong 没电
爸爸在田里工作。|Bàba zài tián lǐ gōngzuò.|Bố đang làm việc ngoài ruộng.|田:ruộng
这件事由我来做。|Zhè jiàn shì yóu wǒ lái zuò.|Việc này do tôi làm.|由:do
你可以自由选择。|Nǐ kěyǐ zìyóu xuǎnzé.|Bạn có thể tự do lựa chọn.|自由:tự do
我喜欢历史。|Wǒ xǐhuan lìshǐ.|Tôi thích lịch sử.|历史:lịch sử
这是一本历史书。|Zhè shì yī běn lìshǐ shū.|Đây là một quyển sách lịch sử.|历史:lịch sử
广场中央有一棵树。|Guǎngchǎng zhōngyāng yǒu yī kē shù.|Giữa quảng trường có một cái cây.|中央:trung tâm, chính giữa
桌子放在房间中央。|Zhuōzi fàng zài fángjiān zhōngyāng.|Bàn đặt ở giữa phòng.|中央:chính giữa
我是学生。|Wǒ shì xuésheng.|Tôi là học sinh.|学生:học sinh
这个肉是生的。|Zhè ge ròu shì shēng de.|Thịt này còn sống.|生:chưa chín;肉:thịt
我的手机丢失了。|Wǒ de shǒujī diūshī le.|Điện thoại của tôi bị mất rồi.|丢失:mất
别怕失败。|Bié pà shībài.|Đừng sợ thất bại.|失败:thất bại
这是一只白猫。|Zhè shì yī zhī bái māo.|Đây là một con mèo trắng.|白:trắng
我明白了。|Wǒ míngbai le.|Tôi hiểu rồi.|明白:hiểu
我想吃西瓜。|Wǒ xiǎng chī xīguā.|Tôi muốn ăn dưa hấu.|西瓜:dưa hấu
这个南瓜很大。|Zhè ge nánguā hěn dà.|Quả bí ngô này rất to.|南瓜:bí ngô
我几乎忘了。|Wǒ jīhū wàng le.|Tôi gần như quên mất.|几乎:gần như, 几 đọc jī
我很在乎你。|Wǒ hěn zàihu nǐ.|Tôi rất quan tâm đến bạn.|在乎:quan tâm, coi trọng
你会用电脑吗？|Nǐ huì yòng diànnǎo ma?|Bạn biết dùng máy tính không?|用:dùng
不用谢。|Bù yòng xiè.|Không cần cảm ơn.|不用:không cần
生日快乐！|Shēngrì kuàilè!|Chúc mừng sinh nhật!|快乐:vui vẻ, 乐 đọc lè
我喜欢音乐。|Wǒ xǐhuan yīnyuè.|Tôi thích âm nhạc.|音乐:âm nhạc, 乐 đọc yuè
他匆匆走了。|Tā cōngcōng zǒu le.|Anh ấy vội vã đi rồi.|匆匆:vội vã
别这么匆忙。|Bié zhème cōngmáng.|Đừng vội vàng như vậy.|匆忙:vội vàng
请看这本手册。|Qǐng kàn zhè běn shǒucè.|Hãy xem cuốn sổ hướng dẫn này.|手册:sổ hướng dẫn
这本书有上册和下册。|Zhè běn shū yǒu shàngcè hé xiàcè.|Sách này có tập trên và tập dưới.|册:tập sách
树上有一只鸟。|Shù shàng yǒu yī zhī niǎo.|Trên cây có một con chim.|鸟:chim
谁是这里的主人？|Shéi shì zhèlǐ de zhǔrén?|Ai là chủ ở đây?|主人:chủ
今天的主题是什么？|Jīntiān de zhǔtí shì shénme?|Chủ đề hôm nay là gì?|主题:chủ đề
请起立。|Qǐng qǐlì.|Mời đứng dậy.|起立:đứng lên
我立刻去。|Wǒ lìkè qù.|Tôi đi ngay.|立刻:ngay lập tức
给我半杯水。|Gěi wǒ bàn bēi shuǐ.|Cho tôi nửa cốc nước.|半:nửa
我的头有点疼。|Wǒ de tóu yǒu diǎn téng.|Đầu tôi hơi đau.|头:đầu
这头牛很大。|Zhè tóu niú hěn dà.|Con bò này rất to.|头:lượng từ cho bò;牛:bò
你必须休息。|Nǐ bìxū xiūxi.|Bạn phải nghỉ ngơi.|必须:phải
不必担心。|Bù bì dānxīn.|Không cần lo.|不必:không cần
我永远记得你。|Wǒ yǒngyuǎn jìde nǐ.|Tôi mãi nhớ bạn.|永远:mãi mãi
我们永远是朋友。|Wǒmen yǒngyuǎn shì péngyou.|Chúng ta mãi là bạn.|永远:mãi mãi
他是农民。|Tā shì nóngmín.|Anh ấy là nông dân.|农民:nông dân
这里的居民很友好。|Zhèlǐ de jūmín hěn yǒuhǎo.|Cư dân ở đây rất thân thiện.|居民:cư dân
请出来一下。|Qǐng chūlai yīxià.|Hãy ra ngoài một lát.|出来:đi ra, hướng về người nói
出口在哪里？|Chūkǒu zài nǎlǐ?|Lối ra ở đâu?|出口:lối ra
香蕉皮不能吃。|Xiāngjiāo pí bù néng chī.|Vỏ chuối không ăn được.|皮:vỏ
这个孩子很调皮。|Zhè ge háizi hěn tiáopí.|Đứa bé này rất nghịch.|调皮:nghịch ngợm
我母亲在家。|Wǒ mǔqīn zài jiā.|Mẹ tôi ở nhà.|母亲:mẹ
这只母猫很小。|Zhè zhī mǔmāo hěn xiǎo.|Con mèo cái này nhỏ.|母:giống cái
我的耳朵有点疼。|Wǒ de ěrduo yǒu diǎn téng.|Tai tôi hơi đau.|耳朵:tai
请戴上耳机。|Qǐng dài shàng ěrjī.|Hãy đeo tai nghe.|耳机:tai nghe
中国在亚洲。|Zhōngguó zài Yàzhōu.|Trung Quốc ở châu Á.|亚洲:châu Á
他得了亚军。|Tā dé le yàjūn.|Anh ấy giành giải nhì.|亚军:á quân
请再说一遍。|Qǐng zài shuō yī biàn.|Hãy nói lại một lần.|再:lại, thêm lần nữa
我明天再来。|Wǒ míngtiān zài lái.|Ngày mai tôi sẽ lại đến.|再:lại (việc sẽ làm)
太阳从西边落下。|Tàiyáng cóng xībian luòxià.|Mặt trời lặn ở phía tây.|西边:phía tây
我们往西走。|Wǒmen wǎng xī zǒu.|Chúng ta đi về phía tây.|西:tây
这里有一百本书。|Zhèlǐ yǒu yī bǎi běn shū.|Ở đây có một trăm quyển sách.|百:trăm
这不是茶，而是咖啡。|Zhè bú shì chá, ér shì kāfēi.|Đây không phải trà mà là cà phê.|而:mà, nối hai vế tương phản
请看第一页。|Qǐng kàn dì yī yè.|Hãy xem trang đầu tiên.|页:trang
这本书有一百页。|Zhè běn shū yǒu yī bǎi yè.|Sách này có một trăm trang.|页:trang
请用筷子夹菜。|Qǐng yòng kuàizi jiā cài.|Hãy dùng đũa gắp thức ăn.|夹:gắp
把书夹在中间。|Bǎ shū jiā zài zhōngjiān.|Kẹp sách vào giữa.|夹:kẹp
叶子上有一只虫。|Yèzi shàng yǒu yī zhī chóng.|Trên lá có một con sâu.|虫:sâu bọ
我怕虫子。|Wǒ pà chóngzi.|Tôi sợ sâu bọ.|虫子:sâu bọ
这首歌曲很好听。|Zhè shǒu gēqǔ hěn hǎotīng.|Bài hát này rất hay.|歌曲:bài hát, 曲 đọc qǔ
这条路弯弯曲曲。|Zhè tiáo lù wānwānqūqū.|Con đường này quanh co.|弯弯曲曲:quanh co, 曲 đọc qū
我不吃肉。|Wǒ bù chī ròu.|Tôi không ăn thịt.|肉:thịt
今年我二十岁。|Jīnnián wǒ èrshí suì.|Năm nay tôi hai mươi tuổi.|年:năm
新年快乐！|Xīnnián kuàilè!|Chúc mừng năm mới!|新年:năm mới
